Type,Code,Name,cli_indicator,mtl_indicator,ltl_indicator,sb_indicator,all.bio_Indicator,System,Subsystem,Habitat,Units,Source,ESRReportCard,ESR,Notes,DataAcquirer,Contact_data_usage,
BIO,BTS.BTRSOL,Total biomass butter sole caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.AKPL,Total biomass Alaska plaice caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.STFLND,Total biomass starry flounder caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.DPSSOL,Total biomass deep sea sole caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.SNDSOL,Total biomass sand solecaught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.REROCK,Total biomass rougheye rockfish caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.NROCK,Total biomass northern rockfish caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.DUSKY,Total biomass dusky rockfish caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.SHRPCHROCK,Total biomass sharpchin rockfish caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.SHRTRKRROCK,Total biomass shortraker rockfish caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.SGROCK,Total biomass silvergray rockfish caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.RBNDROCK,Total biomass redbanded rockfish caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.HLQNROCK,Total biomass harlequin rockfish caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.YEROCK,Total biomass yelloweye rockfish caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.ATKA,Total biomass atka mackerel caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
BIO,BTS.BGSKAT,Total biomass big skate caught in bottom trawl survey in WGOA (summer),0,0,0,0,0,GOA,WGOA,,mt,AFSC Bottom Trawl Survey,N,N,total biomass corrected by CPUE,Bridget,,
